0	34,31
1	30,72,103,60,50,51
2	74,30,34,101,61,50,66
3	27,83,19,74,103,72,101,102,71,78
4	34,103,72,102,61,44,104,48
5	31
6	103,74,102,72,90,34
7	27,0,34,5,74,81,102,90,61,103,89,101,169
8	0,8,10,19,74,30,34,72,27,101,48,117
9	34,5,8,19,74,30,72,101,81,44,88,48,117
10	34,81,71
11	104,48
12	30,66
13	102,90,61,74,59,128,77,53,81,30,34,40,72
14	74,103,102,72
15	27,34,83,19,74,81,48,103,102,72
16	30,34,72,81,48,102,103,61
17	8,185,5,18,27,31
18	102,90,61,74,77,81,103,34,40,72,66,71
19	103,102,61,34,72,44,90,30,51,27
20	34,31,81,104,61
21	74,103,30,81,72,61,104
22	74,102,104,51,34,72,61,90,48,44,27,31,24,45
23	74,34,103,72,102,81,48,117
24	31,55
25	101,102,51,90,43,27
26	30,81,39,71
27	30,51
28	74,90,34,51,55
29	
30	30,46
31	28,31,104,51,43,72
32	74,34,103,72,27,0
33	33,81,51
34	34,74,102,59,40,127,31,35,27
35	34,102,93,81,107
36	28,33,74,103,31,102,104,50,55,61,90,65
37	103,30,90,66
38	34,28,74,72,101,102,65,43,81,51,50
39	103,102,46,34,48,104,44
40	34,31,102,72,90,104,55,51,44
41	102,27,30,34,65,61,81,103,72,48,43,79,101,127
42	74,30,34,72,81,51,102,103,61,101,48,68,90,66,104
43	102,30,65,72,43,90,66,104,55,44,27
44	34,104,44,43,93,40,30,31,27
45	34,61,102,103,72,81,104
46	0,34,83,19,30,74,72,81,48,103,90,61
47	27,34,30,74,72,81,51,102,65,61,103,90
48	28,104,48
49	31,103,102,101,81,44,72,43,48,68,61
50	72,81,50,90
51	31,81,51
52	30,81,48,61,51,104,72,90
53	34,18,22,30,31,81,102,104,72,90
54	30,74,31,103,102,51,61,72,104,90,93,77,73
55	81,34,90,55,65
56	8,185,1,5
57	74,34,103,31,72,90,81
58	30,34,31,74,103,51,61,101,72,104
59	74,34,31,81,72,104
60	30,34,72,81,61,66,65,77,27,83
61	30,104,61
62	27,19,103,102,30,81,44,88,72,61,40
63	90,34,48,81,102,61,93,78,65,59,53,27,83
64	27,34,83,19,74,81,48,102,90,61
65	72,81,48,51,71,78,66
66	34,103,81,61,43,104,96
67	0,34,19,30,74,72,101,61,103,71,78,102,90
68	34,38,101,104,77
69	30,72,90
70	30,34,31,74,103,72,90,61,77,81,101,45,48,60
71	103,74,31,102,81,61,90,48,65
72	31,61,72,68
73	34,31
74	74,30,34
75	34,38,103,31,101,48,102,68,30
76	27,33,103,31,81,104
77	74,30,81,72,90,101,61,77,68
78	30,103,102,96
79	30,103,102,61,31,48,104,66,40
80	74,34,102,103,88,61,30
81	81,61,55,51
82	34,83,19,30,31,74,102,90,101,46,43,48,68,61,72,66,81,40
83	102,90,65,71,78
84	8,185,1,10,19,74,34,102,103
85	74,34,102,103,81,51,72,30,71,48,27
86	34,30,74,72,81,61,103,90,66,68,101
87	74,34,103,81,102,61,90
88	103,72,102,61,90,68,60
89	74,31,51,90,107
90	102,48,44,88,90
91	103,102,30,61,81,88,72,90,104,40
92	5,8,19,74,103,102,30,104,72,90,61
93	81
94	74,34,81,103,61,72,102,104
95	74,34,31,101
96	34,31,72,96
97	31
98	27,30,34,61,101,72,81,51
99	30,103,74,34,102,104,81,48,72
100	34,33,31,74,81,72,68,90
